,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,profile
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,safe
1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,safe
2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,safe
3,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,risky
4,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,risky
5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,safe
6,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,risky
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,safe
8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,risky
9,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,safe
10,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,risky
11,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,random
12,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,risky
13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,safe
14,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,random
15,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,random
16,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,random
17,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,random
18,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,risky
19,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,risky
20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,safe
21,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,risky
22,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,safe
23,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,safe
24,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,risky
25,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,risky
26,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,risky
27,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,risky
28,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,safe
29,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,safe
30,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,safe
31,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,safe
32,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,safe
33,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,safe
34,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,safe
35,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,risky
36,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,random
37,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,risky
38,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,risky
39,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,safe
40,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,risky
41,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,random
42,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,random
43,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,risky
44,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,random
45,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,safe
46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,safe
47,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,random
48,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,safe
49,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,random
50,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,safe
51,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,random
52,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,safe
53,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,random
54,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,safe
55,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,safe
56,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,risky
57,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,random
58,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,safe
59,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,safe
60,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,random
61,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,risky
62,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,risky
63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,safe
64,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,risky
65,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,safe
66,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,safe
67,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,risky
68,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,risky
69,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,safe
70,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,risky
71,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,risky
72,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,safe
73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,safe
74,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,random
75,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,risky
76,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,risky
77,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,risky
78,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,risky
79,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,safe
80,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,safe
81,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,risky
82,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,safe
83,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,safe
84,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,safe
85,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,safe
86,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,safe
87,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,risky
88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,safe
89,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,safe
90,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,safe
91,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,risky
92,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,safe
93,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,risky
94,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,safe
95,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,random
96,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,safe
97,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,safe
98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,safe
99,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,safe
