,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,risk,risk_label,gender,age,sex_orient
0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,2.0101062074360803,risky,female,15,het
1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,-0.011210439896403643,random,female,13,het
2,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-0.7060027429818048,safe,male,16,het
3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-2.454584932856689,safe,male,14,het
4,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,-1.9814512290206672,safe,female,14,het
5,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0.6736808918090526,random,male,17,het
6,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,-0.846249707390968,random,female,17,het
7,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,-2.508829587513313,safe,female,14,het
8,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1.6588504879887456,risky,male,15,het
9,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,3.2073331701023724,risky,male,15,het
10,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,3.1679555345445505,risky,male,16,het
11,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,2.188377303636881,risky,female,16,het
12,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-3.022841756326094,safe,male,13,het
13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.764853169723439,safe,male,13,het
14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2.0097951835682015,safe,male,13,non_het
15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9411672981462791,risky,female,13,het
16,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,-1.3418161973530638,safe,female,15,het
17,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,-1.6401818181223824,safe,male,14,non_het
18,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.9096459691258207,safe,male,14,het
19,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,-0.8012175239246047,random,female,17,het
20,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0.8502647505329974,random,female,13,het
21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-2.35922330128983,safe,female,13,non_het
22,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0.14705123614142415,random,female,17,non_het
23,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1.5596018080058665,random,male,13,het
24,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,-1.1363784037014233,safe,female,14,het
25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.8144484176610758,random,female,16,non_het
26,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1.8081252340324927,risky,female,17,het
27,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-2.8757901717193373,safe,female,17,het
28,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1.6641965627279411,risky,female,16,het
29,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,-0.70160254016009,random,male,13,het
30,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,-1.7896663446029004,safe,male,14,het
31,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-0.41357521894150095,random,female,14,het
32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.8431017875866211,safe,female,14,non_het
33,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-2.0562946494223233,safe,female,13,het
34,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.5082784552113857,safe,male,15,het
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.801712760823366,risky,male,15,het
