,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,alpha_risk,risk_label,gender,age,sex_orient,immigrant
0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1.7959694349939432,risky,1,4,0,0
1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.05255778899607744,risky,0,2,0,0
2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-1.7929146756223944,safe,1,1,0,0
3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,-2.3172752071595926,safe,0,0,0,1
4,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1.0257292905029571,risky,1,1,0,1
5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2.5818087042564737,risky,1,4,0,1
6,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,-2.1840042451810833,safe,1,1,0,0
7,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,-2.1973923130771036,safe,0,1,1,0
8,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,-1.893837992846096,safe,0,2,0,0
9,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1.6688100321894592,safe,1,3,0,1
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.8699382099469717,risky,0,0,0,1
11,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-1.5697940031950195,safe,0,3,1,0
12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-2.4659079183496613,safe,0,1,0,0
13,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,-1.4825875989853792,safe,1,1,0,0
14,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,-2.500484485417221,safe,1,0,0,0
15,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,-1.944460188844956,safe,0,0,0,0
16,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0.008377701365739676,risky,0,3,0,1
17,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,-1.346940571868913,safe,1,3,0,1
18,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,-1.1203147826973008,risky,0,0,0,0
19,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-1.4872621271285125,safe,1,3,0,0
20,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0.7156326705843497,risky,1,2,0,1
21,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,-2.05821402507182,safe,1,1,0,0
